Neighborhood,Latitude,Longitude,District,Venue,VenueLatitude,VenueLongitude,Category,Distance
Downtown,39.097230000000025,-84.51963999999998,1,Jeff Ruby's Steakhouse,39.103869041806995,-84.5119588516162,Steakhouse,993
Downtown,39.097230000000025,-84.51963999999998,1,Ruth's Chris Steak House,39.097417986152635,-84.51012700796122,Steakhouse,822
Downtown,39.097230000000025,-84.51963999999998,1,Bru Burger Bar,39.1024523,-84.5118682,Burger Joint,888
Downtown,39.097230000000025,-84.51963999999998,1,Tokyo Kitty,39.10194269515349,-84.51494286668184,Karaoke Bar,663
Downtown,39.097230000000025,-84.51963999999998,1,Metropole,39.10317366028403,-84.51181252827459,Restaurant,946
Downtown,39.097230000000025,-84.51963999999998,1,Jean-Robert's Table,39.10410126824659,-84.5136491885003,French Restaurant,923
Downtown,39.097230000000025,-84.51963999999998,1,Carew Tower,39.10093738699643,-84.51279380196542,Building,721
Downtown,39.097230000000025,-84.51963999999998,1,Hello Honey,39.103412816087015,-84.51353828055248,Ice Cream Shop,866
Downtown,39.097230000000025,-84.51963999999998,1,"The Cincinnatian Hotel, Curio Collection by Hilton",39.10258543304975,-84.51381035455324,Hotel,780
Downtown,39.097230000000025,-84.51963999999998,1,Condado Tacos,39.0971515415022,-84.50876176357269,Taco Place,939
Downtown,39.097230000000025,-84.51963999999998,1,AC Hotel by Marriott Cincinnati at The Banks,39.0968633,-84.5087034,Hotel,945
Downtown,39.097230000000025,-84.51963999999998,1,Nicholson's Tavern and Pub,39.103407874133396,-84.51193302677541,Gastropub,957
Downtown,39.097230000000025,-84.51963999999998,1,Holy Grail Tavern and Grille,39.09760718554319,-84.50895732141214,Bar,923
Downtown,39.097230000000025,-84.51963999999998,1,Silver Ladle,39.102740926049606,-84.51054605765091,Sandwich Place,996
Downtown,39.097230000000025,-84.51963999999998,1,WKRP in Cincinnati,39.10296605792618,-84.51382131743844,Historic Site,812
Downtown,39.097230000000025,-84.51963999999998,1,Skyline Chili,39.10344690621715,-84.51368136482586,Hot Dog Joint,862
Downtown,39.097230000000025,-84.51963999999998,1,Righteous Room,39.10377124741435,-84.51203038487587,Bar,981
Downtown,39.097230000000025,-84.51963999999998,1,Reds Brewery District,39.09779408268108,-84.50808232534385,Beer Bar,1000
Downtown,39.097230000000025,-84.51963999999998,1,Piatt Park,39.10427234495012,-84.51547801494598,Park,862
Downtown,39.097230000000025,-84.51963999999998,1,Planet Fitness,39.098106384277344,-84.50975799560547,Gym / Fitness Center,859
Downtown,39.097230000000025,-84.51963999999998,1,Igby's,39.10276930264024,-84.51100731878212,Bar,967
Downtown,39.097230000000025,-84.51963999999998,1,Grecos,39.09562612773353,-84.52387304322247,Sandwich Place,406
Downtown,39.097230000000025,-84.51963999999998,1,The Stretch,39.097372196694984,-84.50933382469728,Bar,890
Downtown,39.097230000000025,-84.51963999999998,1,Currito,39.1011965,-84.5108553,Burrito Place,878
Downtown,39.097230000000025,-84.51963999999998,1,Reds Team Shop by Majestic,39.0976963766944,-84.50855425787785,Souvenir Shop,959
Downtown,39.097230000000025,-84.51963999999998,1,Welcome to Kentucky!,39.089473970071005,-84.52260033009,Border Crossing,900
Downtown,39.097230000000025,-84.51963999999998,1,Starbucks,39.10022148,-84.5091296,Coffee Shop,967
Downtown,39.097230000000025,-84.51963999999998,1,BurgerFi,39.09708518,-84.50944997,Burger Joint,880
Downtown,39.097230000000025,-84.51963999999998,1,AC Upper Deck,39.09689221894976,-84.50879479541892,Bar,937
Downtown,39.097230000000025,-84.51963999999998,1,GNC,39.102716615585734,-84.51110883184535,Supplement Shop,957
Downtown,39.097230000000025,-84.51963999999998,1,"Pies & Pints - Cincinnati, OH (The Banks)",39.09729766845703,-84.51298522949219,Pizza Place,574
Downtown,39.097230000000025,-84.51963999999998,1,Mr. Sushi,39.102716239838635,-84.51114297342959,Japanese Restaurant,954
Downtown,39.097230000000025,-84.51963999999998,1,Tin Roof,39.09735117906363,-84.50957405637602,Music Venue,869
Downtown,39.097230000000025,-84.51963999999998,1,J Gumbo's,39.100845855810896,-84.51134259695013,Cajun / Creole Restaurant,822
Downtown,39.097230000000025,-84.51963999999998,1,Prime 47,39.10274805505486,-84.51145513350463,Steakhouse,936
Downtown,39.097230000000025,-84.51963999999998,1,Jefferson Social,39.097212372015676,-84.51011253148181,Bar,823
Downtown,39.097230000000025,-84.51963999999998,1,Kitty's Coffee,39.10104647121505,-84.51060764000795,Coffee Shop,888
Downtown,39.097230000000025,-84.51963999999998,1,Trattoria Roma Ristorante & Bar,39.102735177699095,-84.5112676656657,Restaurant,947
Downtown,39.097230000000025,-84.51963999999998,1,Bake's Place,39.100722464221356,-84.51080616652534,Deli / Bodega,856
Downtown,39.097230000000025,-84.51963999999998,1,The Squirrel,39.100024919708424,-84.51102082116778,Diner,806
Downtown,39.097230000000025,-84.51963999999998,1,DunnhumbyUSA Fitness Center,39.09842019079481,-84.52007333812458,Gym,137
Downtown,39.097230000000025,-84.51963999999998,1,Jimmy John's,39.09738199588362,-84.50933448066033,Sandwich Place,890
Downtown,39.097230000000025,-84.51963999999998,1,White Castle,39.10263377032015,-84.52887276773671,Fast Food Restaurant,999
Downtown,39.097230000000025,-84.51963999999998,1,Snappy Tomato Pizza,39.09992517950224,-84.51099450312691,Pizza Place,804
Downtown,39.097230000000025,-84.51963999999998,1,Walgreens,39.1005958,-84.5091031,Pharmacy,984
Downtown,39.097230000000025,-84.51963999999998,1,Great American Insurance (Dixie Terminal),39.09935116015917,-84.51136058304736,Office,753
Downtown,39.097230000000025,-84.51963999999998,1,Paco's Taco Stand,39.0953762235627,-84.51444873548006,Mexican Restaurant,493
Downtown,39.097230000000025,-84.51963999999998,1,Geier Collections & Research Center,39.099451,-84.526881,History Museum,672
Downtown,39.097230000000025,-84.51963999999998,1,The Keating Firm LTD,39.1021133,-84.5258463,Lawyer,763
Downtown,39.097230000000025,-84.51963999999998,1,Megabus,39.10190948890674,-84.52695215907372,Bus Stop,818
Downtown,39.097230000000025,-84.51963999999998,1,Riverwalk,39.09483467956209,-84.51035499572754,Trail,845
Downtown,39.097230000000025,-84.51963999999998,1,Joellas Hot Chicken,39.09739951660344,-84.50932189075311,Fried Chicken Joint,891
Downtown,39.097230000000025,-84.51963999999998,1,Joella’s,39.097431,-84.508976,Fried Chicken Joint,921
Downtown,39.097230000000025,-84.51963999999998,1,Johnny Bench Statue by Tom Tsuchiya,39.09747418919247,-84.5084398984909,Outdoor Sculpture,967
Mount Adams,39.109200000000044,-84.49638999999996,1,Playhouse in the Park,39.11125544914905,-84.49775408756305,Theater,257
Mount Adams,39.109200000000044,-84.49638999999996,1,The Blind Lemon,39.1094217714065,-84.49752115284853,Bar,100
Mount Adams,39.109200000000044,-84.49638999999996,1,Mt. Adams Bar & Grill,39.10948072612706,-84.49741783728005,American Restaurant,94
Mount Adams,39.109200000000044,-84.49638999999996,1,Bow Tie Cafe,39.10782784532844,-84.49769917722838,Café,190
Mount Adams,39.109200000000044,-84.49638999999996,1,Theodore M Berry International Friendship Park,39.10591879218307,-84.49289509529862,Park,473
Mount Adams,39.109200000000044,-84.49638999999996,1,Cincinnati Art Museum,39.11407918425646,-84.49692249298096,Art Museum,545
Mount Adams,39.109200000000044,-84.49638999999996,1,Montgomery Inn Boathouse,39.104123127037184,-84.49444759164089,BBQ Joint,589
Mount Adams,39.109200000000044,-84.49638999999996,1,HighStreet Design Studio & Store,39.111990000000006,-84.50354399999999,Furniture / Home Store,691
Mount Adams,39.109200000000044,-84.49638999999996,1,Mt. Adams Pavilion,39.10743375324595,-84.49722574217758,Nightclub,209
Mount Adams,39.109200000000044,-84.49638999999996,1,the grotto,39.107891499152444,-84.4977113291102,Bar,185
Mount Adams,39.109200000000044,-84.49638999999996,1,Sawyer Point Park,39.10167630946326,-84.49757691240598,Park,843
Mount Adams,39.109200000000044,-84.49638999999996,1,Krohn Conservatory,39.115317526575204,-84.49029387873911,Garden,860
Mount Adams,39.109200000000044,-84.49638999999996,1,Pendleton Art Center,39.111101295805554,-84.50677843643216,Art Gallery,921
Mount Adams,39.109200000000044,-84.49638999999996,1,City View Tavern,39.10603254285439,-84.50106563828459,Bar,536
Mount Adams,39.109200000000044,-84.49638999999996,1,United Dairy Farmers (UDF),39.10845997522163,-84.49742449383109,Ice Cream Shop,121
Mount Adams,39.109200000000044,-84.49638999999996,1,Salon on the Ohio,39.10335010803717,-84.49695271585024,Cosmetics Shop,653
Mount Adams,39.109200000000044,-84.49638999999996,1,Taft Museum of Art,39.10251900214524,-84.50250550354664,Art Museum,912
Mount Adams,39.109200000000044,-84.49638999999996,1,Bobby's Burger Palace,39.1081284173285,-84.50629121781309,Burger Joint,863
Mount Adams,39.109200000000044,-84.49638999999996,1,Monk's Cove,39.10789977788325,-84.4976498443622,Bar,181
Mount Adams,39.109200000000044,-84.49638999999996,1,Yesterday's Old Time Saloon,39.1093440167662,-84.49778503271742,Dive Bar,121
Mount Adams,39.109200000000044,-84.49638999999996,1,Prism,39.107634041573846,-84.5074561639552,Steakhouse,971
Mount Adams,39.109200000000044,-84.49638999999996,1,Crowley's Highland House,39.107725237055014,-84.49704094305945,Bar,173
Mount Adams,39.109200000000044,-84.49638999999996,1,Market Street Buffet,39.107596668735965,-84.50674307402748,Buffet,911
Mount Adams,39.109200000000044,-84.49638999999996,1,JACK Cincinnati Casino,39.108425097364716,-84.5061884505029,Casino,850
Mount Adams,39.109200000000044,-84.49638999999996,1,LA Fitness,39.10363417133827,-84.48729328392467,Gym,1000
Mount Adams,39.109200000000044,-84.49638999999996,1,SpringHill Suites Cincinnati Midtown,39.1179845,-84.4986363,Hotel,996
Mount Adams,39.109200000000044,-84.49638999999996,1,Next Chapter,39.10775905477962,-84.49748645631448,American Restaurant,186
Mount Adams,39.109200000000044,-84.49638999999996,1,Buckhead Mountain Grill,39.103219346086476,-84.48874726461426,American Restaurant,937
Mount Adams,39.109200000000044,-84.49638999999996,1,Rock Bar & Lounge,39.10819859843475,-84.50645782227063,Sports Bar,876
Mount Adams,39.109200000000044,-84.49638999999996,1,Calle Cantina,39.10793019524753,-84.49702036636911,Mexican Restaurant,151
Mount Adams,39.109200000000044,-84.49638999999996,1,Hightail Mt. Adams,39.107574,-84.49746,Restaurant,203
Mount Adams,39.109200000000044,-84.49638999999996,1,Fortview Place Steps,39.10810200316334,-84.4941759109497,Trail,226
Mount Adams,39.109200000000044,-84.49638999999996,1,Starbucks,39.108172,-84.506312,Coffee Shop,864
Mount Adams,39.109200000000044,-84.49638999999996,1,Seasongood Pavilion,39.11252153456609,-84.49649332228493,Theater,369
Mount Adams,39.109200000000044,-84.49638999999996,1,Historic Elsinore Water Tower,39.113015732634125,-84.49969053268433,Monument / Landmark,511
Mount Adams,39.109200000000044,-84.49638999999996,1,Cincinnati Greyhound Bus Station,39.10787138753833,-84.50417410038706,Bus Station,688
Mount Adams,39.109200000000044,-84.49638999999996,1,The Crystalline Tower,39.11237620858062,-84.48802811490505,Sculpture Garden,804
Mount Adams,39.109200000000044,-84.49638999999996,1,Sawyer Point Tennis Courts,39.10186699323454,-84.49646007500621,Tennis Court,816
Mount Adams,39.109200000000044,-84.49638999999996,1,Butterflies Of Ecuador,39.115166,-84.490355,Park,844
Mount Adams,39.109200000000044,-84.49638999999996,1,JACK Gift Shop,39.10796120857654,-84.50632672900878,Gift Shop,869
Mount Adams,39.109200000000044,-84.49638999999996,1,OH/KY Border,39.1009753420899,-84.49561290442944,Border Crossing,918
Mount Adams,39.109200000000044,-84.49638999999996,1,Passage Lounge,39.104188123344336,-84.50516927658623,Wine Bar,941
Mount Adams,39.109200000000044,-84.49638999999996,1,Lytle Tunnel,39.10279037789391,-84.50423955917358,Road,984
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Taft's Ale House,39.11137752027737,-84.51747639808683,Brewery,162
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,The Eagle OTR,39.110601,-84.51505,Fried Chicken Joint,132
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,16-Bit Bar+Arcade,39.110354229394886,-84.51369888547038,Bar,224
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Graeter's Ice Cream,39.1106288,-84.5156446,Ice Cream Shop,119
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Pepp & Dolores,39.11183,-84.51595,Restaurant,30
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Low Spark,39.110488150536774,-84.51618023143342,Bar,142
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Pontiac,39.110682222587535,-84.51547595489116,BBQ Joint,114
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Salazar,39.11048085528401,-84.51624553497133,New American Restaurant,145
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Washington Park,39.109374514741745,-84.51746475360353,Park,303
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Holtman's Donut Shop,39.110494285115905,-84.51536888740317,Donut Shop,136
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Zula Restaurant and Wine Bar,39.11046,-84.516837,Seafood Restaurant,172
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Please,39.11137142031905,-84.51306181221263,American Restaurant,225
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Sundry and Vice,39.10937838604377,-84.5158521450369,Cocktail Bar,259
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,1215 Wine Bar & Coffee Lab,39.10885067861751,-84.51501413009079,Coffee Shop,321
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Bakersfield,39.1086868,-84.5151303,Taco Place,338
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Longfellow,39.109734409655424,-84.51270379561795,Bar,334
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Ché,39.11095585092705,-84.51347579324168,Argentinian Restaurant,204
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Taste of Belgium OTR,39.10830877850144,-84.51480586903104,American Restaurant,384
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,A Tavola,39.10897345340725,-84.5148912654736,Italian Restaurant,310
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Senate Restaurant,39.10869581272631,-84.51481862131597,Gastropub,341
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Boba Cha,39.11291911958161,-84.51253537099717,Bubble Tea Shop,300
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Brown Bear Bakery,39.109888,-84.512572,Bakery,333
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Cincinnati Music Hall,39.10939411942423,-84.51924228320904,Concert Hall,403
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Pleasantry,39.11143,-84.518163,New American Restaurant,219
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Maize Venezuelan Eatery,39.11139,-84.517105,Venezuelan Restaurant,131
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,The Bagelry,39.11122,-84.514133,Bagel Shop,140
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,MOTR Pub,39.1111109,-84.5122466,Bar,300
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Abigail Street,39.10878751867465,-84.51485664264295,Tapas Restaurant,331
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Goodfellas Pizzeria,39.10917123109084,-84.51168351329665,Pizza Place,442
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Liberty's Bar & Bottle,39.11221229776944,-84.51242622036936,Bar,283
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Nicola's,39.11227564410498,-84.5106029405302,Italian Restaurant,439
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Collective Espresso,39.11062863273613,-84.51171256306424,Coffee Shop,359
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,HOMAGE,39.10935349590247,-84.51500784001563,Clothing Store,266
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Macaron Bar,39.10939286411259,-84.51166103432587,Bakery,429
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Quan Hapa,39.110391541784985,-84.51528122688309,Asian Restaurant,148
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Alabama Fish Bar,39.113067150694626,-84.51780087718915,Seafood Restaurant,240
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Woodward Theater,39.11132234622475,-84.5121193414439,Concert Hall,306
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,SugarSnap!,39.10945575405952,-84.51290226157433,Cupcake Shop,343
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Findlay Market,39.11539859116258,-84.51907217502594,Farmers Market,507
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Gomez Salsa,39.10853166560742,-84.51297131158685,Mexican Restaurant,421
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Citybird Tenders,39.11081,-84.51516,Fried Chicken Joint,107
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Pho Lang Thang,39.11551704595294,-84.51902342954065,Vietnamese Restaurant,515
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,The Cabaret,39.108487187685036,-84.51296386057813,Gay Bar,425
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,HomeMakers Bar,39.109562,-84.513611,Bar,295
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Know Theatre of Cincinnati,39.108054674136646,-84.5136522658759,Indie Theater,440
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Dojo Gelato,39.11523208769508,-84.519590152214,Dessert Shop,520
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Coffee Emporium,39.10749750998573,-84.51238976791237,Coffee Shop,545
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Krueger's Tavern,39.10861,-84.51514,Gastropub,346
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Wódka Bar,39.109222,-84.51161,Cocktail Bar,444
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Ensemble Theatre Cincinnati,39.108070471356115,-84.51475689760294,Theater,411
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,The Pony,39.1111046210156,-84.51209277443574,Bar,313
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Wiseguy Lounge,39.109154827031496,-84.51170278538412,Speakeasy,442
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Queen City Radio,39.10777635510162,-84.51935842488533,Beer Garden,542
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Eli's BBQ,39.11513451690223,-84.51971236097177,BBQ Joint,519
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Eckerlin Meats,39.115677211883025,-84.51916699948806,Butcher,537
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Revolution Rotisserie & Bar,39.107259870169685,-84.51624133487621,American Restaurant,496
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Below Zero Lounge,39.108456922384576,-84.51301040154883,Cocktail Bar,426
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Pins Mechanical Company,39.10849328261272,-84.51135009527206,Bar,514
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Cincinnati Ballet,39.11281943823005,-84.5211392921318,Dance Studio,491
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Japp's Since 1879,39.10872623986601,-84.51178367571848,Cocktail Bar,469
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,LouVino OTR,39.10903216505552,-84.51152331439272,Wine Bar,463
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Deeper Roots Coffee,39.115956,-84.518075,Coffee Shop,518
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Le's Pho and Sandwiches,39.10636909761984,-84.51413150682458,Vietnamese Restaurant,607
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Warby Parker,39.11110063,-84.51574122,Optical Shop,67
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Aladdin’s Eatery,39.10893,-84.511744,Mediterranean Restaurant,456
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Boomtown Biscuits & Whiskey,39.10966212284184,-84.5085573939803,American Restaurant,652
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Samuel Adams Cincinnati Taproom,39.11480683465462,-84.5210402126649,Beer Bar,580
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Memorial Hall,39.10865779483461,-84.51848676287814,Concert Hall,418
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,rhinehaus,39.10854353348844,-84.51241364260267,Sports Bar,448
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Rosedale,39.109389568373075,-84.51109106580746,Restaurant,469
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,The Rhined,39.114909999999995,-84.520101,Cheese Shop,525
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Nation,39.1097372681123,-84.50840523573173,Burger Joint,662
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Rhinegeist Brewery,39.117221276051744,-84.52012895230538,Brewery,726
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,MiCA 12/v,39.10834926690849,-84.51482143345352,Design Studio,379
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Tom & Chee,39.10682044582182,-84.5117103944464,Sandwich Place,640
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Churchills Tea Shop,39.11543991232033,-84.51925969165426,Tea Room,520
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Urbana Cafe,39.109912,-84.508293,Coffee Shop,665
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Madison's Market,39.115475885456924,-84.51887105213153,Grocery Store,504
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Queen City Exchange,39.1060916821933,-84.51535323559246,Bar,624
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Colonel De Gourmet Herbs & Spices,39.115364316840015,-84.51922700714356,Herbs & Spices Store,512
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Avril-Bleh & Sons Meat Market,39.10651012726465,-84.5130532913989,Butcher,619
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Rhinegeist Rooftop Bar,39.116936,-84.52014,Beer Garden,700
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Central Parkway YMCA,39.10688451850129,-84.51816678511075,Gym,578
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Pendleton Art Center,39.111101295805554,-84.50677843643216,Art Gallery,768
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Rookwood Pottery,39.11731419791616,-84.51832626147082,Arts & Crafts Store,666
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Brewdog Cincinnati,39.10826,-84.508995,Beer Bar,689
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Biergarten At Findlay Market,39.115218007125826,-84.5197261918571,Beer Garden,527
Over-the-Rhine,39.11170000000004,-84.51563999999996,1,Cafe De Paris,39.104384104001454,-84.51450141553399,Café,820
